Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
505,Jarace Walker,PF,20,IND,18,0,176,28,66,.424,12,32,.375,16,34,.471,.515,6,7,.857,8,21,29,20,9,6,10,17,74,walkeja02
506,Lonnie Walker IV,SG,25,BRK,36,0,649,148,319,.464,75,174,.431,73,145,.503,.582,35,46,.761,9,66,75,55,25,10,37,43,406,walkelo01
507,Cason Wallace,SG,20,OKC,57,9,1180,151,297,.508,69,164,.421,82,133,.617,.625,22,26,.846,36,92,128,77,41,25,26,94,393,wallaca01
508,Jordan Walsh,SF,19,BOS,4,0,33,1,5,.200,0,3,.000,1,2,.500,.200,0,0,,2,9,11,2,2,1,2,5,2,walshjo01
509,P.J. Washington,PF,25,TOT,49,21,1435,243,552,.440,83,265,.313,160,287,.557,.515,71,102,.696,57,203,260,105,42,34,76,125,640,washipj01
509,P.J. Washington,PF,25,CHO,44,17,1286,227,509,.446,79,244,.324,148,265,.558,.524,67,94,.713,53,179,232,97,38,32,66,112,600,washipj01
509,P.J. Washington,PF,25,DAL,5,4,149,16,43,.372,4,21,.190,12,22,.545,.419,4,8,.500,4,24,28,8,4,2,10,13,40,washipj01
510,TyTy Washington Jr.,PG,22,MIL,5,0,21,1,7,.143,1,3,.333,0,4,.000,.214,0,0,,0,1,1,1,2,0,2,0,3,washity02
511,Yuta Watanabe,SF,29,TOT,31,0,418,40,111,.360,25,83,.301,15,28,.536,.473,10,15,.667,11,37,48,12,11,7,17,35,115,watanyu01
511,Yuta Watanabe,SF,29,PHO,29,0,382,35,97,.361,24,75,.320,11,22,.500,.485,10,15,.667,11,34,45,10,9,7,16,34,104,watanyu01
511,Yuta Watanabe,SF,29,MEM,2,0,36,5,14,.357,1,8,.125,4,6,.667,.393,0,0,,0,3,3,2,2,0,1,1,11,watanyu01
512,Lindy Waters III,SG,26,OKC,24,0,170,23,52,.442,21,48,.438,2,4,.500,.644,0,0,,1,22,23,12,1,4,4,17,67,waterli01
513,Trendon Watford,PF,23,BRK,39,0,463,91,167,.545,13,34,.382,78,133,.586,.584,36,41,.878,32,70,102,55,15,9,26,62,231,watfotr01
