Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
45,Bismack Biyombo,C,31,TOT,31,726,9.7,.560,.000,.387,8.3,21.2,14.5,9.9,0.7,4.5,21.9,10.6,,0.1,1.0,1.0,.068,,-4.9,1.6,-3.3,-0.2,biyombi01
45,Bismack Biyombo,C,31,MEM,30,718,9.9,.560,.000,.387,8.4,21.3,14.6,10.0,0.7,4.4,21.4,10.6,,0.1,0.9,1.1,.070,,-4.9,1.6,-3.2,-0.2,biyombi01
45,Bismack Biyombo,C,31,OKC,1,8,-1.8,,,,0.0,13.3,7.0,0.0,0.0,11.5,100.0,5.4,,0.0,0.0,0.0,-0.101,,-9.5,2.3,-7.2,0.0,biyombi01
46,Anthony Black,PG,20,ORL,53,980,8.3,.561,.360,.330,3.4,10.9,7.1,11.2,1.4,1.7,17.1,12.4,,0.2,1.1,1.3,.064,,-3.9,0.7,-3.3,-0.3,blackan01
47,Leaky Black,SF,24,CHO,22,218,9.9,.554,.385,.359,3.9,16.0,9.7,10.8,1.1,2.5,10.0,10.0,,0.2,0.1,0.3,.065,,-3.2,-0.2,-3.4,-0.1,blackle01
48,Bogdan Bogdanović,SG,31,ATL,55,1599,15.0,.569,.597,.137,2.1,10.5,6.1,13.9,2.0,0.8,7.3,22.5,,2.1,0.7,2.7,.082,,1.0,-0.7,0.3,1.0,bogdabo01
49,Bojan Bogdanović,PF-SF,34,TOT,32,1019,13.9,.599,.487,.244,1.4,10.1,5.7,10.7,1.3,0.4,11.1,24.2,,0.6,0.3,0.9,.044,,0.2,-2.2,-2.0,0.0,bogdabo02
49,Bojan Bogdanović,PF,34,DET,28,921,13.9,.600,.487,.245,1.5,10.1,5.7,11.7,1.2,0.4,11.8,24.4,,0.5,0.2,0.7,.037,,0.3,-2.5,-2.2,0.0,bogdabo02
49,Bojan Bogdanović,SF,34,NYK,4,98,13.9,.591,.488,.233,0.0,10.3,5.1,1.5,2.0,0.9,4.0,21.5,,0.1,0.1,0.2,.109,,-0.2,0.1,-0.1,0.0,bogdabo02
50,Bol Bol,PF,24,PHO,20,208,21.2,.708,.264,.111,11.0,24.3,18.0,7.3,1.2,5.9,11.7,17.8,,0.5,0.3,0.8,.188,,1.8,1.0,2.8,0.3,bolbo01
51,Marques Bolden,C,25,MIL,2,3,3.1,,,,0.0,70.6,36.4,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.102,,-7.7,2.3,-5.4,0.0,boldema01
52,Devin Booker,PG,27,PHO,48,1711,22.5,.613,.297,.365,2.4,11.7,7.3,31.8,1.3,1.0,10.3,30.3,,5.1,1.4,6.5,.183,,4.1,-1.1,3.0,2.2,bookede01
53,Brandon Boston Jr.,SF,22,LAC,18,124,9.3,.498,.333,.200,6.6,7.1,6.8,5.8,0.8,1.4,9.7,25.4,,-0.1,0.1,0.0,-0.005,,-4.9,-3.6,-8.5,-0.2,bostobr01
54,Chris Boucher,PF,31,TOR,47,645,15.7,.607,.441,.417,9.4,23.0,16.0,4.0,1.1,2.8,8.4,17.5,,1.0,0.6,1.6,.123,,-0.5,-1.3,-1.9,0.0,bouchch01
55,James Bouknight,SG,23,CHO,14,81,15.8,.597,.732,.049,1.3,11.5,6.2,11.9,0.6,1.1,4.6,23.6,,0.1,0.0,0.1,.067,,4.3,-2.1,2.1,0.1,bouknja01
56,Jamaree Bouyea,PG,24,POR,6,57,-4.8,.238,.381,.000,3.7,16.9,9.9,19.5,0.0,0.0,27.6,21.6,,-0.4,0.0,-0.4,-0.301,,-13.1,-4.9,-18.0,-0.2,bouyeja01
57,Malaki Branham,PG,20,SAS,53,1075,8.4,.509,.405,.082,1.9,8.8,5.3,15.2,0.8,0.4,11.7,19.0,,-0.7,0.3,-0.4,-0.019,,-3.8,-2.3,-6.1,-1.1,branhma01
58,Christian Braun,SG,22,DEN,58,1109,11.2,.533,.316,.304,5.2,15.2,10.3,9.4,1.1,1.7,9.3,16.4,,0.6,1.2,1.8,.078,,-2.4,-0.6,-3.0,-0.3,braunch01
59,Mikal Bridges,SF,27,BRK,56,1972,15.8,.569,.415,.269,2.4,12.8,7.4,16.4,1.3,1.0,10.2,25.7,,1.6,1.3,2.9,.071,,1.2,-1.1,0.0,1.0,bridgmi01
60,Miles Bridges,SF,25,CHO,46,1714,16.0,.564,.371,.173,2.8,20.2,11.1,14.4,1.4,1.3,9.5,24.6,,0.7,1.2,1.9,.053,,0.5,-0.9,-0.4,0.7,bridgmi02
